Entidad,2008,2010,2012,2014,2016,2018
Aguascalientes,4.2,3.8,3.4,2.1,2.3,1.2
Baja California,3.3,3.4,2.7,3.1,1.1,1.6
Baja California Sur,2.7,4.6,3.7,3.9,1.6,1.5
Campeche,11.9,13.8,10.4,11.1,6.7,9.8
Coahuila,3.1,2.9,3.2,3.7,1.7,1.4
Colima,1.7,2.5,4.0,3.4,2.6,2.4
Chiapas,38.7,38.3,32.2,31.8,28.1,29.7
Chihuahua,6.7,6.6,3.8,5.4,3.2,2.6
Ciudad de México,2.1,2.2,2.5,1.7,1.8,1.7
Durango,11.5,10.5,7.5,5.3,2.8,2.2
Guanajuato,7.9,8.4,6.9,5.5,4.4,4.2
Guerrero,32.4,31.8,31.7,24.5,23.0,26.8
Hidalgo,15.3,13.5,10.0,12.3,8.0,6.1
Jalisco,4.4,5.3,5.8,3.2,1.8,3.0
México,6.9,8.6,5.8,7.2,6.1,4.9
Michoacán,15.4,13.5,14.4,14.0,9.4,6.1
Morelos,8.7,6.9,6.3,7.9,5.9,7.4
Nayarit,6.2,8.3,11.9,8.5,7.9,5.9
Nuevo León,2.6,1.8,2.4,1.3,0.6,0.5
Oaxaca,28.3,29.2,23.3,28.3,26.9,23.3
Puebla,19.0,17.0,17.6,16.2,9.0,8.6
Querétaro,5.5,7.4,5.2,3.9,2.9,2.0
Quintana Roo,7.7,6.4,8.4,7.0,4.2,3.5
San Luis Potosí,15.4,15.3,12.8,9.5,7.7,7.3
Sinaloa,4.6,5.5,4.5,5.3,2.9,2.7
Sonora,4.4,5.1,5.0,3.3,2.5,2.6
Tabasco,15.8,13.6,14.3,11.0,11.8,12.3
Tamaulipas,4.8,5.5,4.7,4.3,2.9,3.3
Tlaxcala,9.5,9.9,9.1,6.5,5.7,3.1
Veracruz,16.8,18.8,14.3,17.2,16.4,17.7
Yucatán,8.9,11.7,9.8,10.7,6.1,6.7
Zacatecas,9.5,10.8,7.5,5.7,3.5,3.4
Estados Unidos Mexicanos,11.0,11.3,9.8,9.5,7.6,7.4
